x,y,z,yaw,pitch,roll,q1_in,q2_in,q3_in,q4_in,q5_in,q6_in,q1_out,q2_out,q3_out,q4_out,q5_out,q6_out
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,1.9677,-0.1896,-0.6931,-1.6503,0.7663,6.9278,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,2.0114,-0.1886,-0.5506,-1.6067,0.715,6.9336,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,2.0899,-0.1524,-0.6244,-1.6526,0.6231,6.9846,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,2.1034,-0.0512,-0.681,-1.5945,0.6894,6.8452,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,1.9905,-0.1969,-0.5908,-1.5702,0.6331,6.8899,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,2.0517,-0.1182,-0.6927,-1.5947,0.6954,6.8556,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,2.0979,-0.2012,-0.6193,-1.5558,0.7376,6.9671,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,2.1243,-0.0664,-0.7462,-1.6016,0.7472,6.9836,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,2.0629,-0.1217,-0.562,-1.6662,0.7805,6.933,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,2.0371,-0.1568,-0.6557,-1.4944,0.6208,7.0378,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,1.9854,-0.21,-0.7493,-1.5322,0.715,6.9551,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,2.1063,-0.1675,-0.5663,-1.6452,0.6046,6.9706,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,1.9453,-0.1372,-0.5979,-1.5525,0.7522,6.9019,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,1.9399,-0.0673,-0.6754,-1.6329,0.6384,6.9138,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,2.0562,-0.1446,-0.6123,-1.4982,0.6422,6.8931,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,1.9552,-0.0586,-0.7405,-1.5383,0.7946,7.0313,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
-1.5106,128.5168,1289.9274,1.3696,-0.0707,1.0066,2.0116,-0.057,-0.598,-1.5629,0.7427,6.9361,2.0248,-0.1389,-0.65,-1.5791,0.7038,6.9424
